resolution,AGNo,timeOfDay,kWAvg,kWMedian,kWMin,kWMax,kVARAvg,kVARMedian,kVARMin,kVARMax
15,1,1970-01-01T05:00Z,0.04047397260273972,0.0348,0.0061,0.1695,0.012657260273972607,0.0114,-0.0128,0.0648
15,1,1970-01-01T05:15Z,0.040171506849315045,0.036,0.0033,0.1742,0.011947397260273968,0.0097,-0.013,0.0854
15,1,1970-01-01T05:30Z,0.03681863013698626,0.0319,0.0039,0.1445,0.011936164383561642,0.01,-0.0159,0.0765
15,1,1970-01-01T05:45Z,0.03727123287671233,0.0331,0.0026,0.1972,0.013207123287671225,0.011,-0.0111,0.0778
15,1,1970-01-01T06:00Z,0.0367204918032787,0.0319,0.0033,0.145,0.01257459016393443,0.01095,-0.0158,0.0703
15,1,1970-01-01T06:15Z,0.03520245901639344,0.03075,0.0041,0.1423,0.012263387978142068,0.0112,-0.0142,0.0614
15,1,1970-01-01T06:30Z,0.0345155737704918,0.0315,0.0044,0.1439,0.01294945355191258,0.01075,-0.0147,0.0909
15,1,1970-01-01T06:45Z,0.03396775956284155,0.02975,0.0043,0.1304,0.01246502732240437,0.0108,-0.0119,0.0813
15,1,1970-01-01T07:00Z,0.03406170798898073,0.0306,0.0043,0.1588,0.013025619834710737,0.0109,-0.0124,0.082
15,1,1970-01-01T07:15Z,0.03392369146005514,0.0303,0.0045,0.1277,0.013412672176308559,0.0116,-0.0124,0.0652
15,1,1970-01-01T07:30Z,0.0333129476584022,0.0294,0.0038,0.1346,0.012506887052341598,0.0104,-0.012,0.0877
15,1,1970-01-01T07:45Z,0.03443250688705237,0.0298,0.0027,0.1319,0.014377410468319553,0.0117,-0.0079,0.069
15,1,1970-01-01T08:00Z,0.033783879781420764,0.0305,0.0029,0.118,0.01343224043715848,0.0117,-0.0123,0.0628
15,1,1970-01-01T08:15Z,0.034490437158469944,0.02975,0.0025,0.147,0.013856284153005471,0.01175,-0.0107,0.0948
15,1,1970-01-01T08:30Z,0.03436721311475411,0.0299,0.0034,0.1497,0.013617486338797816,0.0114,-0.0091,0.0795
15,1,1970-01-01T08:45Z,0.033878415300546465,0.0305,0.0042,0.1346,0.013886338797814198,0.0124,-0.0157,0.0576
15,1,1970-01-01T09:00Z,0.03359424657534247,0.0294,0.0034,0.1256,0.012933150684931498,0.0107,-0.0064,0.0776
15,1,1970-01-01T09:15Z,0.03447205479452054,0.0292,0.0026,0.1408,0.013787123287671241,0.0115,-0.0292,0.0745
15,1,1970-01-01T09:30Z,0.03307945205479452,0.0289,0.0038,0.1401,0.013043013698630139,0.0118,-0.0126,0.0683
15,1,1970-01-01T09:45Z,0.03332520547945201,0.0291,0.0036,0.139,0.013405479452054803,0.0116,-0.01,0.1031
15,1,1970-01-01T10:00Z,0.03426273972602741,0.0314,0.0029,0.1615,0.013803561643835616,0.0125,-0.0075,0.0705
15,1,1970-01-01T10:15Z,0.03345753424657534,0.0292,0.0038,0.1728,0.01249452054794521,0.0107,-0.0075,0.0639
15,1,1970-01-01T10:30Z,0.033212054794520524,0.0282,0.0025,0.1394,0.013055616438356149,0.0106,-0.0114,0.0625
15,1,1970-01-01T10:45Z,0.03430054794520549,0.0304,0.0034,0.1309,0.013062465753424669,0.0116,-0.0072,0.0562
15,1,1970-01-01T11:00Z,0.03348931506849316,0.0287,0.0055,0.1509,0.012196712328767121,0.0106,-0.0131,0.0689
15,1,1970-01-01T11:15Z,0.033269041095890406,0.029,0.003,0.1373,0.013499178082191778,0.0113,-0.0084,0.0836
15,1,1970-01-01T11:30Z,0.034273972602739726,0.0309,0.0033,0.1421,0.012883835616438364,0.0115,-0.0139,0.063
15,1,1970-01-01T11:45Z,0.03553726027397261,0.0302,0.0061,0.1383,0.01338136986301369,0.0114,-0.0114,0.0702
15,1,1970-01-01T12:00Z,0.036815616438356166,0.031,0.0034,0.1712,0.013559178082191772,0.0113,-0.014,0.0909
15,1,1970-01-01T12:15Z,0.0380909589041096,0.0324,0.0044,0.1538,0.012436438356164408,0.0104,-0.0161,0.0708
15,1,1970-01-01T12:30Z,0.04013315068493149,0.0341,0.0034,0.1999,0.012745479452054793,0.0115,-0.0098,0.0752
15,1,1970-01-01T12:45Z,0.04085698630136993,0.0353,0.0083,0.1513,0.013068493150684932,0.0106,-0.0161,0.0938
15,1,1970-01-01T13:00Z,0.041026301369863016,0.0348,0.004,0.1691,0.011780547945205463,0.0107,-0.0172,0.094
15,1,1970-01-01T13:15Z,0.042513424657534216,0.0378,0.0032,0.1788,0.012134520547945195,0.0107,-0.0175,0.0689
15,1,1970-01-01T13:30Z,0.044317534246575356,0.0383,0.0043,0.2015,0.01184794520547947,0.0109,-0.0245,0.069
15,1,1970-01-01T13:45Z,0.044550958904109594,0.0374,0.0034,0.1745,0.012969863013698632,0.0111,-0.0229,0.0888
15,1,1970-01-01T14:00Z,0.04604328767123284,0.0394,0.0097,0.1754,0.013654246575342472,0.0122,-0.0231,0.0699
15,1,1970-01-01T14:15Z,0.04848273972602736,0.0411,0.0032,0.1634,0.01419260273972602,0.0124,-0.0224,0.0761
