resolution,AGNo,timeOfDay,kWAvg,kWMedian,kWMax,kWMin,kVARAvg,kVARMedian,kVARMax,kVARMin
60,1,1970-01-01T05:00Z,0.038683835616438414,0.0341,0.1972,0.0026,0.01243698630136988,0.01055,0.0854,-0.0159
60,1,1970-01-01T06:00Z,0.035101571038251345,0.0309,0.145,0.0033,0.012563114754098369,0.01095,0.0909,-0.0158
60,1,1970-01-01T07:00Z,0.033932713498622556,0.0299,0.1588,0.0027,0.013330647382920094,0.0111,0.0877,-0.0124
60,1,1970-01-01T08:00Z,0.034129986338797824,0.0303,0.1497,0.0025,0.013698087431694,0.0119,0.0948,-0.0157
60,1,1970-01-01T09:00Z,0.03361773972602745,0.0292,0.1408,0.0026,0.01329219178082191,0.0114,0.1031,-0.0292
60,1,1970-01-01T10:00Z,0.03380821917808221,0.02975,0.1728,0.0025,0.013104041095890393,0.0115,0.0705,-0.0114
60,1,1970-01-01T11:00Z,0.03414239726027405,0.0295,0.1509,0.003,0.012990273972602741,0.01125,0.0836,-0.0139
60,1,1970-01-01T12:00Z,0.03897417808219175,0.0331,0.1999,0.0034,0.012952397260273946,0.0109,0.0938,-0.0161
60,1,1970-01-01T13:00Z,0.04310205479452053,0.03705,0.2015,0.0032,0.012183219178082157,0.0107,0.094,-0.0245
60,1,1970-01-01T14:00Z,0.04756226027397269,0.04045,0.2107,0.0032,0.014106643835616448,0.0119,0.0844,-0.0231
60,1,1970-01-01T15:00Z,0.049716392318244075,0.0427,0.2285,0.0032,0.015129903978052143,0.01295,0.1375,-0.0238
60,1,1970-01-01T16:00Z,0.05226737637362627,0.0434,0.3041,0.0062,0.015567513736263736,0.0125,0.1339,-0.0323
60,1,1970-01-01T17:00Z,0.05060501373626369,0.04375,0.3393,0.0034,0.015154876373626381,0.0122,0.1251,-0.0212
60,1,1970-01-01T18:00Z,0.05108241758241753,0.04265,0.2598,0.0039,0.014982142857142904,0.0119,0.1158,-0.0251
60,1,1970-01-01T19:00Z,0.05035679945054947,0.0424,0.2298,0.0034,0.015717032967032973,0.0126,0.1188,-0.0235
60,1,1970-01-01T20:00Z,0.045171497252747245,0.03925,0.2167,0.0033,0.014482829670329668,0.01155,0.1276,-0.0205
60,1,1970-01-01T21:00Z,0.03958358516483515,0.0345,0.2539,0.0033,0.013063873626373642,0.01065,0.1028,-0.0171
60,1,1970-01-01T22:00Z,0.04017673301304055,0.0345,0.24,0.0033,0.012570487302676734,0.0106,0.098,-0.0155
60,1,1970-01-01T23:00Z,0.04062013698630136,0.0355,0.1926,0.0032,0.011876095890410979,0.0101,0.09,-0.0195
60,1,1970-01-02,0.04087493150684931,0.0362,0.2178,0.0033,0.011788767123287644,0.00975,0.0997,-0.0212
60,1,1970-01-02T01:00Z,0.041361301369862956,0.037,0.186,0.0037,0.011403150684931506,0.01015,0.091,-0.0212
60,1,1970-01-02T02:00Z,0.041289178082191694,0.0368,0.1913,0.0035,0.011157123287671258,0.0096,0.1056,-0.0173
60,1,1970-01-02T03:00Z,0.04201691780821914,0.0377,0.1774,0.0049,0.01106349315068493,0.0096,0.0894,-0.0157
60,1,1970-01-02T04:00Z,0.04186404109589034,0.035750000000000004,0.2285,0.0034,0.011957397260273957,0.0099,0.1048,-0.0159
60,2,1970-01-01T05:00Z,0.08373041095890413,0.0797,0.3014,0.0164,0.011889520547945212,0.0105,0.0971,-0.0243
60,2,1970-01-01T06:00Z,0.07094576502732242,0.0676,0.3021,0.0176,0.006912909836065588,0.0054,0.0881,-0.0253
60,2,1970-01-01T07:00Z,0.06654938016528923,0.0626,0.2463,0.0145,0.005028994490358131,0.0032500000000000003,0.0794,-0.0306
60,2,1970-01-01T08:00Z,0.06332349726775958,0.0601,0.2232,0.013,0.0037261612021857946,0.0022,0.0895,-0.0285
60,2,1970-01-01T09:00Z,0.06169547945205476,0.057499999999999996,0.2296,0.0134,0.0036639041095890366,0.0023,0.1083,-0.0253
60,2,1970-01-01T10:00Z,0.06091561643835609,0.0573,0.2686,0.0072,0.003662465753424659,0.0026,0.0832,-0.0243
60,2,1970-01-01T11:00Z,0.06195205479452055,0.0584,0.2523,0.0128,0.0034593835616438333,0.00215,0.0725,-0.0279
60,2,1970-01-01T12:00Z,0.06683171232876706,0.0631,0.2155,0.0113,0.0032410273972602694,0.0023,0.0734,-0.0238
60,2,1970-01-01T13:00Z,0.07852082191780806,0.07245,0.3259,0.0193,0.0068144520547945165,0.00575,0.0808,-0.0256
60,2,1970-01-01T14:00Z,0.08148164383561647,0.0757,0.4157,0.0147,0.007411027397260279,0.0062,0.1284,-0.0226
60,2,1970-01-01T15:00Z,0.08433374485596702,0.0786,0.4149,0.0171,0.007789643347050756,0.0063,0.1372,-0.024
60,2,1970-01-01T16:00Z,0.08458179945054949,0.0794,0.2711,0.0156,0.007161401098901096,0.0056500000000000005,0.1449,-0.0245
60,2,1970-01-01T17:00Z,0.08577891483516477,0.0784,0.29,0.0203,0.006864766483516495,0.00515,0.0981,-0.0324
60,2,1970-01-01T18:00Z,0.08498482142857136,0.07725,0.3513,0.0094,0.007525549450549458,0.0062,0.1474,-0.0261
60,2,1970-01-01T19:00Z,0.0841032967032966,0.07725,0.2974,0.0088,0.007230013736263746,0.0051,0.1142,-0.024
60,2,1970-01-01T20:00Z,0.08060274725274724,0.07515,0.277,0.014,0.006189285714285697,0.0047,0.0948,-0.0233
60,2,1970-01-01T21:00Z,0.07851250000000015,0.07444999999999999,0.2074,0.016,0.006043681318681311,0.0044,0.0608,-0.0261
60,2,1970-01-01T22:00Z,0.08141674673987653,0.0771,0.2337,0.0185,0.007831571722717931,0.0058,0.087,-0.0266
60,2,1970-01-01T23:00Z,0.08678842465753431,0.08285000000000001,0.2649,0.0085,0.010107671232876703,0.00775,0.0796,-0.026
60,2,1970-01-02,0.09432376712328772,0.08965000000000001,0.3017,0.0158,0.013086164383561623,0.0109,0.0917,-0.0271
60,2,1970-01-02T01:00Z,0.09850527397260268,0.0945,0.3069,0.0246,0.015648082191780804,0.0126,0.1241,-0.0239
60,2,1970-01-02T02:00Z,0.1036853424657534,0.0995,0.3219,0.0254,0.018162123287671254,0.0152,0.1749,-0.0273
60,2,1970-01-02T03:00Z,0.10072260273972616,0.09795000000000001,0.3007,0.0226,0.018267260273972585,0.0172,0.0974,-0.0291
60,2,1970-01-02T04:00Z,0.09497801369863004,0.0912,0.3621,0.0162,0.016939589041095913,0.0159,0.1017,-0.0308
60,3,1970-01-01T05:00Z,0.1101601369863015,0.09695000000000001,0.3715,0.0315,-0.006171095890410965,-0.0085,0.077,-0.0761
60,3,1970-01-01T06:00Z,0.09768975409836078,0.08335000000000001,0.3486,0.0322,-0.0036282786885245906,-0.0068,0.0881,-0.0471
