AGNo,timeOfDay,kWAvg,kWMedian,kWMax,kWMin
1,1970-01-01T10:00Z,0.038622739726027394,0.0333,0.1695,0.0033
1,1970-01-01T10:15Z,0.03876931506849313,0.0333,0.1742,0.0047
1,1970-01-01T10:30Z,0.035584931506849306,0.0316,0.1445,0.0044
1,1970-01-01T10:45Z,0.034503561643835653,0.0303,0.1272,0.0026
1,1970-01-01T11:00Z,0.03576876712328768,0.0311,0.145,0.0043
1,1970-01-01T11:15Z,0.03468767123287673,0.0305,0.1351,0.0041
1,1970-01-01T11:30Z,0.03352136986301369,0.0298,0.1439,0.0049
1,1970-01-01T11:45Z,0.03477616438356164,0.0298,0.1304,0.0043
1,1970-01-01T12:00Z,0.03366301369863015,0.0297,0.1588,0.0035
1,1970-01-01T12:15Z,0.032936164383561665,0.0293,0.1338,0.0036
1,1970-01-01T12:30Z,0.034425753424657556,0.03,0.1346,0.0038
1,1970-01-01T12:45Z,0.03391945205479455,0.0303,0.1319,0.0027
1,1970-01-01T13:00Z,0.03406794520547946,0.0305,0.1256,0.0029
1,1970-01-01T13:15Z,0.03537753424657535,0.0298,0.147,0.0025
1,1970-01-01T13:30Z,0.033127397260273965,0.0286,0.1497,0.0034
1,1970-01-01T13:45Z,0.0343167123287671,0.03,0.1346,0.004
1,1970-01-01T14:00Z,0.033610136986301366,0.0304,0.1207,0.0035
1,1970-01-01T14:15Z,0.0336208219178082,0.0294,0.1333,0.0026
1,1970-01-01T14:30Z,0.0332739726027397,0.0284,0.1401,0.0038
1,1970-01-01T14:45Z,0.033087945205479447,0.0295,0.139,0.0034
1,1970-01-01T15:00Z,0.03386164383561643,0.0293,0.1615,0.0029
1,1970-01-01T15:15Z,0.03310027397260275,0.0289,0.1728,0.0044
1,1970-01-01T15:30Z,0.033518082191780804,0.0298,0.1394,0.0025
1,1970-01-01T15:45Z,0.034069041095890415,0.0292,0.1372,0.0043
1,1970-01-01T16:00Z,0.036427123287671254,0.0301,0.1356,0.0034
1,1970-01-01T16:15Z,0.03801315068493151,0.0307,0.1538,0.003
1,1970-01-01T16:30Z,0.037893972602739724,0.0325,0.1423,0.0033
